Rank,Feature,Mutual Information
1,aluminium,0.15818196193235878
2,cadmium,0.13639480885496824
3,chromium,0.07363512198700217
4,arsenic,0.07073294037484001
5,chloramine,0.06997080485674734
6,perchlorate,0.06996737357394212
7,radium,0.03777918402058078
8,nitrates,0.026949357108138505
9,barium,0.02495616181163851
10,bacteria,0.024166587769372194
11,silver,0.01554523984522449
12,selenium,0.011507125606073698
13,ammonia,0.009464681510930939
14,viruses,0.003975085500234954
15,uranium,0.00375457407525448
16,copper,0.0
17,lead,0.0
18,flouride,0.0
19,mercury,0.0
20,nitrites,0.0
