aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
4.18,22.13,0.03,2.0,0.004,5.23,0.68,0.34,0.12,0.74,0.74,0.135,12.57,1.17,0.002,1.89,2.38,0.06,0.19,0.04,1
1.44,5.52,0.03,1.68,0.006,3.04,0.19,0.66,0.59,0.65,0.65,0.194,14.03,1.53,0.008,21.67,6.36,0.09,0.4,0.04,1
2.06,26.0,0.01,1.47,0.004,2.77,0.24,0.66,0.55,0.0,0.0,0.16,3.15,1.61,0.008,13.88,7.56,0.02,0.47,0.06,1
4.36,25.18,0.04,0.04,0.001,5.1,0.86,1.23,0.52,0.0,0.0,0.022,12.63,1.93,0.003,1.19,7.79,0.04,0.43,0.01,1
0.1,0.83,0.08,2.85,0.07,0.46,0.06,0.01,0.11,0.0,0.0,0.058,8.99,1.0,0.001,0.82,7.51,0.0,0.05,0.09,0
0.83,14.59,0.03,2.84,0.001,0.24,0.27,1.23,1.01,0.0,0.0,0.04,11.89,1.73,0.007,44.91,4.47,0.02,0.29,0.01,0
0.07,4.9,0.05,1.03,0.03,0.07,0.03,0.29,1.14,0.77,0.77,0.174,9.85,0.85,0.006,7.29,0.32,0.04,0.06,0.09,0
3.01,12.25,0.02,1.63,0.008,1.41,0.46,0.62,0.88,0.25,0.002,0.167,9.14,1.5,0.008,36.36,3.46,0.1,0.23,0.04,1
0.07,15.75,0.07,1.22,0.06,0.09,0.0,0.08,1.14,0.0,0.004,0.045,8.62,0.4,0.01,8.02,3.09,0.02,0.09,0.04,1
4.85,11.43,0.01,1.04,0.001,6.81,0.87,0.92,1.2,0.2,0.002,0.01,18.55,1.93,0.002,22.43,4.58,0.01,0.2,0.04,1
4.73,13.2,0.04,3.08,0.003,3.15,0.37,0.51,1.49,0.24,0.003,0.02,3.74,1.6,0.008,5.72,5.55,0.04,0.08,0.07,1
0.02,14.71,0.0,1.83,0.06,0.3,0.04,1.57,0.26,0.0,0.69,0.182,1.8,1.47,0.008,0.39,1.43,0.01,0.04,0.05,0
0.05,6.04,0.02,0.46,0.06,0.09,0.01,1.09,1.35,0.0,0.002,0.031,17.01,0.74,0.007,4.01,0.74,0.08,0.0,0.08,0
0.07,17.69,0.02,0.84,0.1,0.01,0.04,0.22,1.09,0.57,0.57,0.101,10.34,1.04,0.001,0.68,0.53,0.04,0.07,0.01,0
0.06,18.91,0.07,1.08,0.02,0.16,0.09,0.08,0.34,0.0,0.003,0.146,8.52,0.41,0.006,7.89,0.83,0.09,0.04,0.05,1
0.54,22.33,0.02,2.27,0.001,6.57,0.89,0.93,0.2,0.51,0.51,0.105,5.88,1.48,0.002,29.48,0.63,0.04,0.43,0.05,1
4.61,11.52,0.01,2.35,0.001,3.33,0.42,0.83,1.09,0.14,0.005,0.151,15.19,1.3,0.006,25.23,1.68,0.07,0.17,0.01,1
0.06,0.54,0.08,0.98,0.0,0.24,0.05,0.02,0.62,0.0,0.92,0.112,8.13,0.88,0.007,4.08,0.74,0.05,0.07,0.05,0
2.13,29.19,0.05,1.47,0.005,0.5,0.52,1.92,0.72,0.0,0.0,0.009,9.68,1.51,0.002,21.38,5.1,0.05,0.28,0.09,1
0.08,3.48,0.07,0.86,0.03,0.28,0.07,1.58,0.13,0.97,0.97,0.17,11.6,1.07,0.006,0.07,0.43,0.06,0.1,0.08,0
0.0,20.61,0.02,0.86,0.005,1.74,0.7,1.08,0.7,0.87,0.87,0.106,9.73,1.12,0.008,14.49,3.54,0.02,0.47,0.07,0
0.03,28.82,0.03,0.7,0.002,6.29,0.41,0.13,0.82,0.48,0.008,0.088,15.94,1.86,0.0,27.45,2.48,0.05,0.1,0.02,1
0.09,23.69,0.04,3.79,0.003,2.63,0.4,0.76,0.62,0.65,0.65,0.044,6.94,1.81,0.005,55.04,5.22,0.03,0.48,0.02,0
4.36,29.5,0.03,3.78,0.003,1.45,0.88,1.19,0.38,0.0,0.0,0.064,7.23,1.0,0.005,14.95,3.72,0.07,0.42,0.06,1
0.01,3.49,0.07,0.19,0.03,0.01,0.07,0.07,0.7,0.01,0.0,0.008,7.72,0.15,0.006,2.7,0.88,0.06,0.02,0.08,1
0.0,2.09,0.09,2.72,0.08,0.19,0.03,0.86,1.31,0.0,0.0,0.046,4.59,1.51,0.008,0.25,4.45,0.02,0.04,0.0,0
0.09,7.45,0.02,0.25,0.02,0.28,0.0,1.18,0.03,0.28,0.0,0.069,0.46,1.65,0.004,5.28,0.72,0.05,0.01,0.04,0
0.02,25.46,0.05,0.87,0.09,0.1,0.0,0.01,0.15,0.0,0.72,0.013,8.83,0.26,0.008,0.13,2.06,0.06,0.09,0.09,0
0.56,9.34,0.03,0.49,0.006,0.73,0.78,0.58,1.32,0.0,0.0,0.118,9.2,1.43,0.005,1.35,4.02,0.04,0.03,0.06,1
2.78,13.84,0.02,1.33,0.008,6.44,0.45,0.56,0.8,0.29,0.001,0.186,2.84,1.37,0.0,29.98,7.36,0.08,0.09,0.08,1
2.5,16.32,0.02,0.9,0.003,0.83,0.36,0.25,0.11,0.71,0.71,0.09,1.24,1.44,0.004,44.16,4.01,0.06,0.23,0.03,1
0.06,17.75,0.01,1.49,0.07,0.3,0.05,0.0,1.44,0.07,0.005,0.06,9.95,0.06,0.006,0.22,0.27,0.1,0.05,0.08,1
0.05,0.58,0.0,2.74,0.09,0.03,0.02,0.26,0.59,0.61,0.61,0.008,12.69,1.61,0.001,1.25,2.39,0.08,0.07,0.06,0
1.17,9.82,0.59,2.62,0.12,3.08,0.66,1.26,1.33,0.0,0.0,0.164,3.12,1.8,0.0,4.98,1.18,0.01,0.42,0.01,0
1.37,6.4,0.02,0.75,0.001,5.88,0.09,0.99,0.8,0.37,0.002,0.148,17.6,1.04,0.002,13.29,4.08,0.06,0.05,0.01,1
0.1,23.9,0.02,2.77,0.003,1.07,0.54,1.35,1.03,0.04,0.007,0.067,13.92,1.31,0.0,12.23,2.42,0.05,0.23,0.0,0
3.83,16.01,0.01,2.57,0.003,7.12,0.13,1.64,0.78,0.61,0.61,0.038,6.97,1.88,0.009,33.89,3.07,0.09,0.11,0.03,1
0.71,9.9,0.04,1.4,0.003,3.45,0.69,0.32,0.66,0.3,0.006,0.123,1.73,1.61,0.002,35.17,0.66,0.04,0.05,0.03,1
0.05,10.29,0.02,0.92,0.005,4.05,0.87,0.19,1.18,0.0,0.0,0.162,6.82,1.35,0.001,24.25,0.62,0.07,0.06,0.03,1
1.86,2.06,0.03,1.64,0.003,4.14,0.35,0.1,1.47,0.0,0.0,0.097,2.42,1.16,0.003,12.17,7.8,0.01,0.11,0.01,1
4.66,2.57,0.02,3.63,0.003,6.9,0.32,0.13,0.3,0.2,0.003,0.05,16.42,1.8,0.005,15.52,1.94,0.01,0.41,0.0,1
2.06,13.55,0.02,2.78,0.006,3.05,0.32,0.04,0.55,0.58,0.58,0.127,1.76,1.8,0.004,15.21,6.52,0.03,0.47,0.01,1
0.06,8.23,0.05,0.04,0.09,0.41,0.03,0.05,0.36,0.34,0.0,0.114,7.66,1.54,0.001,0.48,7.04,0.02,0.09,0.0,0
0.05,18.97,0.24,2.06,0.04,4.55,0.84,0.85,1.01,0.19,0.008,0.045,2.91,1.96,0.005,35.54,4.14,0.01,0.02,0.01,1
1.17,24.27,0.24,0.99,0.11,5.13,0.36,1.43,0.63,0.59,0.59,0.146,2.52,1.42,0.008,45.05,1.68,0.07,0.37,0.07,0
0.5,8.16,0.02,2.43,0.008,0.57,0.88,0.69,1.32,0.0,0.0,0.103,13.78,1.51,0.01,33.36,5.29,0.06,0.46,0.0,1
0.05,5.58,0.06,0.05,0.09,0.2,0.01,0.09,0.33,0.0,0.007,0.062,4.91,0.6,0.004,10.06,0.39,0.03,0.0,0.03,1
3.53,5.43,0.04,2.34,0.002,4.13,0.7,1.51,0.89,0.55,0.55,0.164,8.49,1.49,0.001,37.15,0.25,0.08,0.01,0.09,1
1.65,4.96,0.04,0.72,0.002,3.42,0.82,1.93,0.45,0.63,0.63,0.124,3.83,1.61,0.007,38.27,5.9,0.05,0.45,0.02,1
0.06,29.36,0.04,0.98,0.02,0.04,0.01,1.32,1.3,0.0,0.73,0.086,5.72,0.65,0.001,3.78,3.58,0.07,0.02,0.03,0
0.02,26.9,0.07,2.49,0.04,0.09,0.02,1.23,1.48,0.57,0.57,0.106,7.4,1.13,0.005,3.9,6.52,0.09,0.02,0.04,0
4.91,12.38,0.05,3.71,0.11,7.53,0.79,0.71,1.26,0.0,0.0,0.102,18.92,1.34,0.006,30.76,6.9,0.03,0.39,0.07,0
0.05,0.95,0.01,0.07,0.06,0.07,0.0,1.69,1.32,0.0,0.0,0.063,17.26,1.53,0.003,4.5,0.5,0.07,0.05,0.0,0
4.55,14.38,0.04,2.3,0.001,1.23,0.77,0.36,0.37,0.45,0.001,0.033,9.55,1.38,0.005,0.74,4.99,0.05,0.33,0.06,1
0.08,26.75,0.71,0.9,0.03,0.96,0.61,0.91,0.42,0.44,0.006,0.107,13.43,1.3,0.009,46.9,0.5,0.04,0.35,0.0,0
3.47,19.62,0.33,1.81,0.01,2.43,0.2,1.85,1.43,0.68,0.68,0.089,4.84,1.34,0.004,40.09,2.61,0.03,0.08,0.04,0
0.28,17.23,0.04,2.68,0.006,3.65,0.2,0.12,0.13,0.94,0.94,0.049,6.06,1.77,0.002,45.83,4.64,0.04,0.05,0.02,1
1.15,8.12,0.02,0.97,0.007,3.47,0.65,1.51,1.46,0.58,0.58,0.061,8.96,1.5,0.004,14.6,1.74,0.03,0.01,0.06,1
0.92,24.33,0.03,0.2,0.006,2.67,0.69,0.57,0.61,0.13,0.001,0.117,6.74,1.11,0.003,16.9,2.41,0.02,0.06,0.02,1
4.3,2.03,0.01,3.09,0.004,4.06,0.28,1.66,0.79,0.73,0.73,0.059,4.83,1.2,0.006,44.88,4.05,0.06,0.24,0.05,1
4.96,19.39,0.03,3.01,0.001,1.73,0.64,0.36,0.64,0.69,0.69,0.005,1.16,1.56,0.001,31.08,1.45,0.07,0.32,0.05,1
3.13,28.98,0.02,1.8,0.008,6.25,0.32,0.72,0.53,0.0,0.0,0.03,6.98,1.8,0.009,15.09,4.94,0.01,0.39,0.09,1
0.05,3.31,0.07,0.99,0.0,0.16,0.06,0.04,1.43,0.0,0.97,0.118,2.17,0.5,0.002,0.99,4.0,0.03,0.08,0.0,0
0.25,26.84,0.09,2.32,0.07,7.62,0.78,0.01,0.03,0.23,0.004,0.055,5.59,2.03,0.0,0.26,7.97,0.09,0.21,0.05,0
2.64,18.44,0.01,0.19,0.005,4.86,0.35,1.98,0.99,0.41,0.0,0.099,10.2,1.69,0.001,5.91,4.49,0.06,0.18,0.08,1
0.26,12.48,0.04,3.67,0.005,3.01,0.65,1.41,0.51,0.0,0.0,0.187,1.07,1.2,0.01,23.72,7.71,0.08,0.32,0.0,1
2.01,15.1,0.01,2.17,0.006,6.42,0.33,0.16,1.01,0.76,0.76,0.168,17.85,1.01,0.009,3.17,5.31,0.07,0.32,0.0,1
