cadmium,aluminium,chromium,perchlorate,chloramine,arsenic,viruses,radium,lead,uranium,nitrites,barium,flouride,ammonia,selenium,bacteria,silver,is_safe
0.05,0.0,0.04,6.4,0.1,0.01,0.008,0.83,0.113,0.04,0.86,0.62,0.26,18.86,0.09,0.07,0.03,0
0.001,0.27,0.16,55.11,6.71,0.01,0.0,0.54,0.091,0.04,1.0,3.58,1.17,9.74,0.03,0.0,0.39,0
0.04,0.02,0.1,53.96,2.22,0.37,0.91,3.69,0.073,0.0,2.19,3.74,0.95,21.05,0.04,0.91,0.37,0
0.007,1.4,0.7,18.56,7.74,0.05,0.0,3.9,0.12,0.04,1.68,3.63,0.65,14.93,0.05,0.0,0.41,1
0.11,0.02,0.2,32.03,4.01,0.26,0.94,4.64,0.001,0.02,2.02,3.13,0.13,17.13,0.04,0.94,0.05,1
0.002,0.0,0.1,14.31,0.71,0.04,0.68,7.22,0.153,0.05,1.73,0.58,0.83,3.82,0.05,0.68,0.49,0
0.08,0.07,0.08,3.84,0.04,0.09,0.008,0.86,0.042,0.02,1.95,0.54,1.37,22.8,0.07,0.09,0.01,0
0.001,0.07,0.11,54.7,3.37,0.01,0.005,4.29,0.013,0.08,1.97,3.6,0.27,23.59,0.02,0.26,0.42,0
0.05,1.24,0.18,6.36,0.18,0.84,0.0,5.41,0.162,0.0,1.48,1.19,0.3,25.85,0.01,0.0,0.32,0
0.006,3.12,0.07,40.27,1.87,0.03,0.002,1.16,0.028,0.02,1.07,3.98,0.04,18.12,0.0,0.32,0.35,1
0.07,3.4,0.28,46.43,8.42,0.42,0.0,7.29,0.185,0.01,1.74,1.98,0.45,14.2,0.07,0.0,0.02,0
0.008,3.9,0.34,47.93,0.79,0.001,0.5,1.23,0.148,0.02,1.95,1.6,0.01,9.79,0.06,0.5,0.01,1
0.007,2.22,0.27,15.81,7.17,0.03,0.007,4.98,0.166,0.07,1.36,3.96,0.23,11.87,0.07,0.18,0.47,1
0.06,0.08,0.04,3.71,0.02,0.05,0.008,1.18,0.113,0.04,1.5,0.22,0.26,9.62,0.09,0.07,0.01,0
0.005,3.85,0.63,1.7,6.68,0.03,0.0,2.26,0.03,0.07,1.41,0.31,0.53,11.33,0.08,0.0,0.32,1
0.006,0.17,0.38,5.73,1.12,0.04,0.57,1.08,0.101,0.01,1.04,1.87,1.09,17.69,0.04,0.57,0.03,1
0.03,0.02,0.09,0.39,0.08,0.04,0.004,0.26,0.082,0.01,1.6,1.08,0.76,0.38,0.02,0.15,0.1,0
0.12,0.05,0.21,46.97,2.5,0.17,0.001,0.87,0.06,0.05,1.29,3.41,1.36,12.39,0.03,0.37,0.27,0
0.004,4.35,0.61,0.73,0.64,0.02,0.006,0.5,0.107,0.0,1.19,0.88,0.42,26.85,0.04,0.44,0.35,1
0.009,1.82,0.3,33.24,0.63,0.01,0.78,2.58,0.185,0.04,1.66,1.74,0.29,9.2,0.03,0.78,0.4,1
0.05,0.09,0.09,0.98,0.05,0.06,0.82,0.59,0.023,0.02,0.95,0.24,1.41,1.71,0.09,0.0,0.08,0
0.01,0.09,0.06,0.14,0.28,0.09,0.005,0.41,0.048,0.03,0.38,1.68,1.25,2.1,0.08,0.06,0.02,1
0.007,1.39,0.27,45.85,1.8,0.02,0.003,2.07,0.124,0.03,1.88,0.78,0.48,9.01,0.06,0.43,0.31,1
0.06,0.09,0.02,0.07,0.06,0.06,0.003,4.16,0.051,0.08,0.6,0.12,0.97,23.77,0.04,0.0,0.01,1
0.11,0.26,0.09,41.78,6.86,0.19,0.002,4.08,0.001,0.01,1.9,1.12,0.8,6.3,0.06,0.37,0.05,1
0.01,0.04,0.3,34.26,7.18,0.76,0.54,3.17,0.097,0.05,1.78,2.09,0.21,12.42,0.05,0.54,0.26,0
0.005,4.05,0.61,14.78,5.24,0.001,0.81,1.29,0.041,0.07,1.81,3.74,0.18,24.04,0.0,0.81,0.44,1
0.03,2.53,0.29,14.03,8.66,0.72,0.64,0.79,0.154,0.0,2.04,3.48,0.57,3.8,0.04,0.64,0.03,1
0.004,3.96,0.3,27.56,7.65,0.04,0.79,7.79,0.199,0.03,1.77,2.2,0.9,21.99,0.09,0.79,0.1,1
0.007,1.21,0.09,30.86,6.8,0.03,0.001,7.46,0.032,0.07,1.74,2.56,0.88,11.64,0.06,0.28,0.03,1
0.001,4.13,0.62,54.14,6.7,0.01,0.006,5.12,0.019,0.04,1.77,2.35,0.92,27.2,0.07,0.02,0.42,0
0.001,0.76,0.57,36.9,5.33,0.03,0.0,7.5,0.006,0.03,1.25,1.21,0.62,5.77,0.02,0.0,0.09,1
0.004,0.27,0.1,28.73,4.13,0.02,0.93,6.87,0.174,0.07,1.45,1.37,0.8,12.27,0.05,0.93,0.13,0
0.04,0.03,0.02,1.44,0.05,0.05,0.59,5.41,0.141,0.08,1.61,0.34,1.46,16.07,0.02,0.0,0.04,0
0.009,0.42,0.34,19.19,3.7,0.01,0.0,2.86,0.109,0.03,1.0,2.82,0.76,17.59,0.09,0.0,0.21,1
0.007,1.06,0.32,46.81,4.05,0.001,0.0,2.31,0.021,0.02,1.09,2.43,0.32,0.43,0.0,0.0,0.03,1
0.11,0.02,0.65,34.89,3.67,0.31,0.58,1.74,0.061,0.06,1.52,1.12,1.46,8.02,0.03,0.58,0.01,0
0.001,2.69,0.05,0.33,0.81,0.04,0.64,2.58,0.087,0.08,1.07,0.36,0.36,0.97,0.03,0.64,0.06,1
0.03,0.04,0.01,0.45,0.08,0.02,0.005,0.22,0.012,0.08,0.14,0.99,0.27,22.98,0.07,0.0,0.03,1
0.001,4.55,0.77,0.74,1.23,0.04,0.001,4.99,0.033,0.06,1.38,2.3,0.37,14.38,0.05,0.45,0.33,1
0.007,3.67,0.08,9.83,1.36,0.02,0.0,6.17,0.182,0.07,1.2,3.81,0.66,27.89,0.01,0.0,0.07,1
0.09,0.08,0.08,2.55,0.23,0.02,0.74,5.87,0.132,0.05,0.62,1.22,0.63,21.94,0.1,0.0,0.05,0
0.02,0.01,0.07,2.51,0.14,0.07,0.003,0.54,0.007,0.07,1.32,0.37,0.63,7.51,0.09,0.48,0.03,0
0.02,0.01,0.06,1.53,0.12,0.07,0.003,0.49,0.043,0.05,0.61,0.88,0.16,24.76,0.02,0.0,0.09,1
0.13,0.66,0.49,3.26,8.34,0.35,0.78,3.71,0.038,0.06,1.43,4.83,0.89,5.54,0.02,0.78,0.36,0
0.04,0.01,0.09,2.38,0.02,0.08,0.007,0.36,0.008,0.09,0.14,1.35,0.75,11.1,0.02,0.0,0.01,0
0.009,1.32,0.84,46.47,5.06,0.01,0.0,0.53,0.145,0.03,1.14,3.06,1.03,3.91,0.05,0.0,0.13,1
0.01,0.08,0.12,58.16,5.9,0.88,0.6,4.33,0.16,0.07,1.46,3.68,0.33,3.32,0.02,0.6,0.39,0
0.008,3.54,0.66,12.48,4.96,0.03,0.0,7.93,0.05,0.01,1.42,1.0,0.91,28.57,0.09,0.0,0.42,1
0.003,0.03,0.36,16.61,6.14,0.03,0.005,2.27,0.044,0.0,1.45,1.21,1.1,29.02,0.06,0.38,0.24,0
0.11,1.17,0.36,45.05,5.13,0.24,0.59,1.68,0.146,0.07,1.42,0.99,0.63,24.27,0.07,0.59,0.37,0
0.05,0.07,0.05,8.12,0.19,0.0,0.001,4.23,0.194,0.02,0.43,0.04,1.19,1.62,0.08,0.0,0.02,0
0.005,3.79,0.72,9.33,2.99,0.01,0.008,1.3,0.153,0.07,1.44,3.47,0.59,26.13,0.05,0.4,0.27,1
0.0,0.06,0.09,2.55,0.08,0.04,0.77,3.22,0.052,0.04,0.58,0.23,0.69,18.94,0.01,0.0,0.05,0
0.006,3.21,0.28,28.19,3.08,0.04,0.0,5.94,0.152,0.02,1.82,0.55,0.63,23.64,0.07,0.0,0.22,1
0.009,3.47,0.69,17.89,3.1,0.03,0.0,1.97,0.113,0.01,1.94,3.81,1.1,8.61,0.07,0.0,0.25,1
0.04,0.24,0.29,14.94,1.62,0.25,0.67,3.93,0.001,0.08,2.13,3.9,1.48,17.6,0.07,0.67,0.31,0
0.02,4.57,0.17,30.24,1.93,0.74,0.006,7.74,0.183,0.02,1.37,1.52,0.14,23.64,0.03,0.0,0.03,0
0.01,0.05,0.06,0.05,0.02,0.07,0.005,0.67,0.19,0.04,2.03,0.99,0.55,5.83,0.06,0.03,0.06,0
0.09,0.06,0.09,5.44,0.36,0.07,0.004,0.02,0.154,0.01,1.33,0.16,0.15,4.89,0.06,0.24,0.09,0
0.04,0.94,0.26,49.1,1.05,0.62,0.0,3.23,0.034,0.02,1.39,4.14,0.85,23.14,0.09,0.0,0.03,0
0.11,3.24,0.6,20.21,6.7,0.82,0.64,7.8,0.044,0.05,1.39,4.69,0.32,19.54,0.08,0.0,0.16,0
0.001,3.98,0.07,32.35,7.18,0.02,0.59,5.22,0.051,0.08,1.35,0.38,0.24,11.14,0.0,0.59,0.21,1
0.008,0.07,0.43,34.44,4.47,0.001,0.002,0.02,0.155,0.01,1.19,2.71,0.07,5.44,0.07,0.29,0.05,1
0.07,0.05,0.08,4.03,0.54,0.04,0.0,0.44,0.137,0.02,1.36,0.39,0.28,22.57,0.1,0.19,0.0,0
