aluminium,cadmium,chromium,arsenic,chloramine,perchlorate,radium,nitrates,barium,bacteria,silver,selenium,ammonia,viruses,uranium,is_safe
0.01,0.02,0.54,0.63,0.06,27.62,7.03,17.76,3.03,0.31,0.08,0.03,15.08,0.001,0.0,0
0.04,0.07,0.01,0.04,0.32,0.71,3.94,6.48,0.07,0.85,0.04,0.04,1.68,0.85,0.06,0
0.05,0.06,0.06,0.09,0.66,3.59,0.35,9.09,0.75,0.0,0.05,0.08,7.75,0.0,0.01,0
0.05,0.08,0.07,0.06,0.21,3.22,0.06,7.43,1.67,0.26,0.01,0.09,10.78,0.005,0.02,0
0.03,0.03,0.04,0.01,0.03,0.09,1.12,17.89,0.66,0.0,0.02,0.09,1.63,0.009,0.03,0
0.07,0.07,0.09,0.03,0.03,4.24,0.86,4.08,0.44,0.38,0.09,0.01,24.05,0.009,0.07,0
0.02,0.08,0.29,0.19,4.94,37.26,3.34,13.84,1.69,0.16,0.07,0.0,17.22,0.009,0.02,1
0.06,0.03,0.1,0.08,0.44,1.19,0.45,3.67,0.31,0.0,0.08,0.09,5.74,0.007,0.05,1
0.95,0.003,0.47,0.01,1.7,46.85,0.94,2.4,3.94,0.04,0.45,0.09,5.76,0.003,0.02,1
0.99,0.007,0.04,0.05,7.64,57.11,0.2,10.81,2.13,0.0,0.48,0.03,28.95,0.0,0.02,0
0.01,0.004,0.29,0.001,3.4,8.33,6.53,0.8,3.76,0.53,0.32,0.01,8.17,0.53,0.02,0
0.05,0.08,0.03,0.07,0.02,0.32,0.61,2.06,0.17,0.0,0.08,0.05,6.9,0.008,0.02,0
0.02,0.09,0.0,0.05,0.1,0.13,2.06,8.83,0.87,0.0,0.09,0.06,25.46,0.72,0.09,0
0.05,0.05,0.01,0.1,0.07,14.05,2.11,10.3,0.44,0.07,0.04,0.02,0.11,0.007,0.08,0
1.88,0.008,0.44,0.04,7.81,8.02,3.54,2.76,0.49,0.41,0.17,0.08,7.08,0.001,0.05,1
